Title,Artist,Position,ID,Year,Tonality,MIC,RIC,Unique Word Ratio
Maggie May,Rod Stewart,2a,1971_02a_2,1971,0.75,0.8084496118377632,0.3528076130726842,0.45
Reason to Believe,Rod Stewart,2b,1971_02b_1,1971,0.81,0.8147826594994564,0.44945260030840867,0.19
Reason to Believe,Rod Stewart,2b,1971_02b_2,1971,0.77,0.7133909309011738,0.33487396805601183,0.19
I Feel the Earth Move,Carole King,3a,1971_03a_1,1971,0.65,0.6079436912830645,0.28163094948102296,0.31
I Feel the Earth Move,Carole King,3a,1971_03a_2,1971,0.76,0.7341842683937856,0.2953578078535719,0.31
I Feel the Earth Move,Carole King,3a,1971_03a_3,1971,0.64,0.7634346928107596,0.312766624814847,0.31
It's Too Late,Carole King,3b,1971_03b_1,1971,0.82,0.6756826750292998,0.26011604721296033,0.38
It's Too Late,Carole King,3b,1971_03b_2,1971,0.86,0.7919616817218954,0.24319013360886974,0.38
It's Too Late,Carole King,3b,1971_03b_3,1971,0.73,0.8421348855835428,0.42249658732077316,0.38
One Bad Apple,The Osmonds,4,1971_04_1,1971,0.82,0.6644359030876933,0.3291032040645076,0.34
One Bad Apple,The Osmonds,4,1971_04_2,1971,0.78,0.5871703497534663,0.3249485998217598,0.34
How Can You Mend a Broken Heart,Bee Gees,5,1971_05_1,1971,0.87,0.7566147399043014,0.41874905270111296,0.33
How Can You Mend a Broken Heart,Bee Gees,5,1971_05_2,1971,0.76,0.508205281378423,0.43886478960389874,0.33
The First Time Ever I Saw Your Face,Roberta Flack,1,1972_01_1,1972,0.64,0.7151313773946483,0.5285696933029989,0.46
Alone Again (Naturally),Gilbert O'Sullivan,2,1972_02_1,1972,0.73,0.6556697828094159,0.30158251917161794,0.6
Alone Again (Naturally),Gilbert O'Sullivan,2,1972_02_2,1972,0.67,0.8073190422162039,0.33172501437748986,0.6
American Pie,Don McLean,3,1972_03_1,1972,0.75,0.7241907895240427,0.30123314180189065,0.36
American Pie,Don McLean,3,1972_03_2,1972,0.83,0.6780493957934371,0.30275428591163556,0.36
American Pie,Don McLean,3,1972_03_3,1972,0.78,0.5629285772599676,0.25517470644534396,0.36
Without You,Harry Nilsson,4,1972_04_1,1972,0.81,0.6853622810966323,0.3664412435773443,0.33
Without You,Harry Nilsson,4,1972_04_2,1972,0.56,0.6138538455993209,0.3185703013796424,0.33
The Candy Man,Sammy Davis Jr.,5,1972_05_1,1972,0.78,0.8153326016630834,0.34565195657716136,0.21
The Candy Man,Sammy Davis Jr.,5,1972_05_2,1972,0.73,0.6263610722874874,0.39753505282840224,0.21
The Candy Man,Sammy Davis Jr.,5,1972_05_3,1972,0.9,0.6925227858164366,0.3845535631292522,0.21
Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1,1973_01_1,1973,0.62,0.737991549386946,0.33987464230949455,0.36
Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1,1973_01_2,1973,0.95,0.9789750957832332,0.3461818109071084,0.36
Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1,1973_01_3,1973,0.71,0.7404830676507427,0.45065823212272543,0.36
"Bad, Bad Leroy Brown",Jim Croce,2,1973_02_1,1973,0.57,0.6653160977255609,0.2854310035408771,0.39
"Bad, Bad Leroy Brown",Jim Croce,2,1973_02_2,1973,0.69,0.7034515368569223,0.27782926884252446,0.39
Killing Me Softly with His Song,Roberta Flack,3,1973_03_1,1973,0.78,0.7996959358556168,0.2380171592499741,0.23
Killing Me Softly with His Song,Roberta Flack,3,1973_03_2,1973,0.81,0.7905640915410507,0.3667830742083161,0.23
Let's Get It On,Marvin Gaye,4,1973_04_1,1973,0.7,0.6895025799631735,0.338461453198608,0.35
